-1.0,2.6969529040576923e-18,0.0
0.0,0.020000000000555036,NaN
0.125,0.020000000001231557,0.020000000000554793
0.25,0.02000000000201836,0.02000000000055473
0.375,0.02000000000284703,0.02000000000055484
0.5,0.020000000003694184,0.020000000000554692
0.625,0.020000000004473644,0.020000000000554193
0.75,0.020000000004923312,0.02000000000055421
0.875,0.020000000004265245,0.02000000000055398
1.0,0.02000000000059664,0.020000000000553186
1.125,0.019999999999289444,0.020000000000550647
1.25,0.02000000011210287,0.020000000000549627
1.375,0.020000000666682304,0.020000000000545918
1.5,0.020000001529958546,0.020000000000536745
1.625,0.020000002109392574,0.020000000000519918
1.75,0.020000000397185646,0.020000000000495392
1.875,0.01999999899459449,0.0200000000004579
2.0,NaN,0.02000000000041636
