-1.0,3.71883578249301e-5,0.0
0.0,0.33026201245802017,NaN
0.125,0.3302571544845809,0.33022482410110066
0.25,0.3302461831919633,0.33021503131597396
0.375,0.33024264297561995,0.33020979045819643
0.5,0.3302351691411781,0.330205595744409
0.625,0.3302234054890619,0.33020180157336293
0.75,0.33023497989142453,0.33019825198942027
0.875,0.330229117492938,0.33019489691335757
1.0,0.3301916591106254,0.33019165872313777
1.125,0.33021326629748665,0.33018871461017535
1.25,0.33020771255191494,0.3301859154392117
1.375,0.3302006474158997,0.3301832878870764
1.5,0.3302002499746987,0.3301808551010551
1.625,0.33019342536631124,0.33017854910321376
1.75,0.3301939840494718,0.3301763081218033
1.875,0.3301772621687591,0.33017410173138195
2.0,NaN,0.3301720899649105
