n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
4.0,0.5,0.0010395175375817528,0.0,0.003473859591491213,0.0,2.5371791569142037e-6,57.142308950424194,0.0
8.0,0.25,2.4235020019213386e-5,5.422677013484119,0.0001241490917698873,4.806393831098574,4.143808797706504e-8,186.8133590221405,-1.708966388277702
16.0,0.125,4.906384245801767e-7,5.626289240346157,1.7049365303722919e-6,6.186211864011467,-2.765223290842781e-10,642.2981979846954,-1.7816456230122737
32.0,0.0625,9.861627513053198e-9,5.636690652104605,3.9894484854530177e-8,5.417384905552751,3.127949121112075e-12,2530.5725779533386,-1.978148698104231
64.0,0.03125,2.1342023949212688e-10,5.530056857049344,1.4991617391935108e-9,4.733961373301762,-1.722184464925912e-15,12312.299107074738,-2.282564427918145
128.0,0.015625,3.5982157217631017e-12,5.890271506696602,2.7169863581200104e-11,5.786004906796882,-3.580517216942632e-14,49632.07345986366,-2.0111725416948265
