n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
32.0,0.0625,1.254548811849623e-7,0.0,6.890413051796607e-7,0.0,-2.312182422522374e-11,448.0322299003601,0.0
64.0,0.03125,3.789228118412752e-9,5.049120798514597,1.8564523335262706e-8,5.213970291144705,3.643607225829737e-13,70365.33646297455,-7.295118571276684
128.0,0.015625,1.1848449869451324e-10,4.999133766270696,5.841332417766409e-10,4.990106974834251,4.096739223899415e-15,31638.218607902527,1.1531965289928996
