n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.02275488560015849,0.0,0.08053279650741885,0.0,0.0051521007816853455,0.5693211555480957,0.0
4.0,0.5,0.0008150259303634163,4.803186563000221,0.0029465514262122516,4.772477081055325,9.698454066272568e-5,0.5365920066833496,0.08541714647101757
8.0,0.25,2.6175400350371723e-5,4.960562451644319,9.579364299217019e-5,4.94295371580378,1.5857249276928507e-6,1.5021321773529053,-1.4851142968945241
16.0,0.125,8.206770744055542e-7,4.99525314078041,3.06418459178337e-6,4.966354804321584,2.5055061472148858e-8,3.803642988204956,-1.3403700747600271
32.0,0.0625,2.562534674071742e-8,5.001171221005732,9.654203736442213e-8,4.988202127239623,3.926169251024834e-10,29.066939115524292,-2.9339254113432447
64.0,0.03125,8.000589639940926e-10,5.0013213859563015,3.0231085412779635e-9,4.997052589527487,6.22405073625982e-12,129.8186240196228,-2.1590463078225617
128.0,0.015625,2.499042633433485e-11,5.000658910919262,9.453027249861634e-11,4.999112554115208,2.683773780688613e-13,955.2073090076447,-2.879316505906433
