n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.1460717835019642,0.0,0.3943503472691705,0.0,0.02553522176963672,0.7573018074035645,0.0
4.0,0.5,0.01102763089597501,3.727482731341558,0.03610489699320185,3.44921148146847,0.003172817723482264,1.233572006225586,-0.7039016542643549
8.0,0.25,0.000709268336608709,3.9586475310726152,0.0024501666145875234,3.8812427636921276,0.00022537830166877474,2.7337019443511963,-1.148014023133154
16.0,0.125,4.457247643295229e-5,3.992106519783309,0.00015653750166599867,3.96829962783023,1.4527470326900491e-5,9.397248983383179,-1.7813825195155515
32.0,0.0625,2.7914782489461622e-6,3.997051898996255,9.837160740544526e-6,3.992122538098546,9.149508100687402e-7,35.67139196395874,-1.9244571345029462
64.0,0.03125,1.746246032888222e-7,3.9987005715122974,6.156603702400787e-7,3.998035365404775,5.729394718300715e-8,172.64010787010193,-2.274928252717365
128.0,0.015625,1.0918662171307586e-8,3.9993888347340794,3.84918661389122e-8,3.999509184152476,3.5826559346086827e-9,1059.8346710205078,-2.617999652546604
