n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.022754885600158734,0.0,0.08053279650741851,0.0,0.0051521007816485494,0.8191909790039062,0.0
4.0,0.5,0.0008150259303629862,4.803186563000997,0.00294655142621858,4.772477081052221,9.698454066196656e-5,0.9624748229980469,-0.23254897394086485
8.0,0.25,2.6175400350300823e-5,4.960562451647466,9.579364297174209e-5,4.942953716114535,1.5857249096259505e-6,2.7179019451141357,-1.4976727009248743
16.0,0.125,8.20677074207169e-7,4.99525314112525,3.0641845847334537e-6,4.9663548073332064,2.5055060564073066e-8,8.049916982650757,-1.5664804967174724
32.0,0.0625,2.5625346163477604e-8,5.0011712531553165,9.654199328856805e-8,4.988202782576743,3.926179244418183e-10,26.01701593399048,-1.6924096890150468
64.0,0.03125,8.000588945352244e-10,5.001321478708698,3.023102879140538e-9,4.9970546329722945,6.213330233585216e-12,133.33363509178162,-2.3575133600765388
128.0,0.015625,2.4991306053253956e-11,5.000608000469161,9.451806004534546e-11,4.999296247160243,2.508220109761032e-13,1004.0359191894531,-2.912698212867595
