n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.19443624450235986,0.0,0.5302281647974878,0.0,0.11750930384789965,6.389039039611816,0.0
4.0,0.5,0.029123344292644335,2.739049236381459,0.07239462736128366,2.8726587663475707,0.0005742382616191338,4.835975885391235,0.4017919045077115
8.0,0.25,0.003303659339167525,3.1400391983507934,0.00830281045423295,3.124210965902606,-4.941334073315165e-5,16.24914002418518,-1.7484844106930006
16.0,0.125,0.00028444185526674325,3.537859252701821,0.0009767106361806555,3.087596650648763,-5.791431277471851e-8,66.82394790649414,-2.0400018520762746
32.0,0.0625,2.1888709408962476e-5,3.6998749726844036,7.590161584347666e-5,3.6857287033335147,-4.621784988523194e-9,231.3337070941925,-1.7915383694191642
64.0,0.03125,1.788312392845446e-6,3.6135162115317607,7.430665082575061e-6,3.35256734875831,5.210391923823757e-10,974.3436467647552,-2.0744552013084196
128.0,0.015625,1.3085827798597654e-7,3.772521680849839,7.855084693808578e-7,3.241792609230494,2.995340121450387e-9,4253.554465055466,-2.1261663279107768
