n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.2297674265066523,0.0,0.7996542928261652,0.0,0.16178588477335132,3.044802188873291,0.0
4.0,0.5,0.01148030949065323,4.322940845204476,0.02456080957170592,5.024946407106688,0.0032665156729275724,6.840188980102539,-1.1676876804438627
8.0,0.25,0.0004781307104003371,4.585612651887532,0.0012886383536039325,4.252438771105899,5.045062784155355e-5,26.15909194946289,-1.9352043725666015
16.0,0.125,2.0616427806647753e-5,4.535538788400563,7.050970644406629e-5,4.1918817548867535,9.685570698421408e-7,116.080806016922,-2.1497450749298888
32.0,0.0625,1.0396319410186973e-6,4.309649610446242,4.0622315390370645e-6,4.117477496366038,1.4953432254591337e-8,508.98291516304016,-2.132487788687604
64.0,0.03125,6.293671469922691e-8,4.0460271820394205,2.527131062191046e-7,4.006700080242493,2.1190376057724164e-10,1854.7683308124542,-1.8655498629534548
128.0,0.015625,4.350206925022738e-9,3.854745939862933,1.6922497042548557e-8,3.9004861174884367,3.366879330029941e-12,10288.255642175674,-2.471687492360306
