n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.14607178350203343,0.0,0.3943503472690306,0.0,0.02553522176954794,1.159641981124878,0.0
4.0,0.5,0.011027630895976973,3.727482731341985,0.03610489699320435,3.449211481467858,0.0031728177234913836,0.6980221271514893,0.7323347922166104
8.0,0.25,0.0007092683366136044,3.9586475310629146,0.0024501666145778644,3.881242763697914,0.00022537830174804315,1.5076680183410645,-1.1109741132773778
16.0,0.125,4.457247643323737e-5,3.9921065197840395,0.00015653750166799707,3.9682996278061253,1.4527470325673183e-5,4.28928804397583,-1.5084194136756373
32.0,0.0625,2.791478248975595e-6,3.9970518989902715,9.83716073832408e-6,3.992122538442609,9.149508049161039e-7,14.213125944137573,-1.7284137791494323
64.0,0.03125,1.7462460326863973e-7,3.99870057169425,6.156603711282571e-7,3.998035362997835,5.729393976879605e-8,79.47340607643127,-2.4832482902616313
128.0,0.015625,1.0918662224546368e-8,3.999388827532838,3.8491864473577664e-8,3.9995092486513713,3.582641706963235e-9,556.4608018398285,-2.807735982971538
