n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.08096535892953749,0.0,0.1990271787125546,0.0,0.026655353336972512,0.751046895980835,0.0
4.0,0.5,0.005153347131341652,3.9737231008506173,0.01633566237527795,3.606868596280597,0.0031660881745978926,1.2506930828094482,-0.7357529001891624
8.0,0.25,0.00032740794607275116,3.976348535190258,0.001094602970236891,3.8995453725106266,0.00022533098894104498,3.1657278537750244,-1.3398094385985584
16.0,0.125,2.0440043081677634e-5,4.001619193751455,6.97249268371003e-5,3.9725893508094634,1.4527260969904058e-5,11.17040491104126,-1.8190723397598967
32.0,0.0625,1.2749065777616386e-6,4.002934798384379,4.464437915685515e-6,3.9651240625788833,9.149499710551412e-7,43.41258382797241,-1.958431809016604
64.0,0.03125,7.958476661479518e-8,4.001755413581036,2.807543898475373e-7,3.991098061981782,5.729394818068231e-8,199.2956359386444,-2.198724922706136
128.0,0.015625,4.970766118016695e-9,4.000952180728014,1.757437750882218e-8,3.997763086132583,3.582660023740549e-9,1187.5404720306396,-2.574994657791533
