n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.07566157167490031,0.0,0.11026572588205652,0.0,0.0050974555782437436,26.477669954299927,0.0
4.0,0.5,0.004995814170267985,3.92076902597982,0.014883385583794873,2.889209780245697,-3.1243391992036784e-5,110.37039995193481,-2.0595052349890888
8.0,0.25,0.000357593143039217,3.8043288361228753,0.0012415229277051854,3.583519929736421,-7.833466108888216e-7,464.66794300079346,-2.073846808040051
16.0,0.125,2.358283945291542e-5,3.9225097334490506,8.59513462496686e-5,3.852446857659792,-8.460689266880235e-9,1403.6872489452362,-1.5949495059547434
32.0,0.0625,1.5094841305029192e-6,3.965609939381063,5.696996059123549e-6,3.915246923365062,-9.035605805325356e-11,5817.190862894058,-2.0511011107893347
64.0,0.03125,9.424400365664127e-8,4.001510950596608,3.6374039402709e-7,3.96922035453949,-8.993516955984476e-13,25962.28715801239,-2.158022938635915
