n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.07357721478522598,0.0,0.2114555766959021,0.0,-0.005569232321005924,2.6471128463745117,0.0
4.0,0.5,0.004764250837979041,3.9489377868572566,0.014072603978688925,3.90939339587081,-0.0001431105200240812,6.445307970046997,-1.283829596956088
8.0,0.25,0.0002434650729185995,4.290462647437306,0.0009785361138393567,3.8461204017893076,-2.6942535556566394e-6,21.26624584197998,-1.7222441746673058
16.0,0.125,1.4926443170933659e-5,4.027772489529913,5.993247519442413e-5,4.0292152327643365,4.1119308599995436e-8,79.98830008506775,-1.9112236170093797
32.0,0.0625,9.458121852657624e-7,3.980172887013994,3.863292499683979e-6,3.9554351411172446,3.9928565250153814e-10,349.9732720851898,-2.12938384869781
64.0,0.03125,6.193570473916083e-8,3.9327104884820208,2.5001905101795785e-7,3.9497209767617885,-8.729796589388925e-12,1689.2203240394592,-2.271040859422559
128.0,0.015625,4.323023333374204e-9,3.840658806855568,1.7074537256300815e-8,3.872119644818836,-7.611817445849053e-12,7525.647435903549,-2.155458192820095
