n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.011242234176444012,0.0,0.03775955911688955,0.0,0.005163246617041177,0.846386194229126,0.0
4.0,0.5,0.00040085216379754615,4.809714699627204,0.0012910964516547052,4.8701732331497904,9.70467948195314e-5,0.7821400165557861,0.11388919726874804
8.0,0.25,1.2666506764884525e-5,4.983979651411137,4.066023863485979e-5,4.988834288925823,1.585807971203662e-6,1.9962859153747559,-1.3518195604716368
16.0,0.125,3.962016977068561e-7,4.998639833039779,1.3100077688177336e-6,4.955971409780059,2.5055149483272702e-8,7.7864089012146,-1.9636397458877561
32.0,0.0625,1.2363060544763429e-8,5.002127222332438,4.1366174707846426e-8,4.984980005182252,3.92617702767821e-10,34.56369686126709,-2.1502275188832445
64.0,0.03125,3.8561960161164586e-10,5.002713736712017,1.2976089092120446e-9,4.994524016912797,6.21873158219476e-12,162.6903519630432,-2.234799258771962
128.0,0.015625,1.203835353154812e-11,5.001468392384996,4.062017389117045e-11,4.997515404140883,2.679453509738783e-13,1056.2029249668121,-2.6986864393975813
