n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.01965961466811068,0.0,0.050873688793023675,0.0,0.0008879709254970417,27.695931911468506,0.0
4.0,0.5,0.0011934474493594794,4.042028097619047,0.0038048659634015713,3.741002169223382,1.5305612787540107e-6,115.64411807060242,-2.0619459008393295
8.0,0.25,4.52166797146337e-5,4.722136173825427,0.00017759222379609696,4.421205314711962,1.1153669549861862e-8,490.1658811569214,-2.0835781774109225
16.0,0.125,1.5281808051995347e-6,4.886967908477244,5.873515444898558e-6,4.918200351107304,2.9337237765086135e-11,1433.955284833908,-1.5486580655113011
32.0,0.0625,4.8744767048407634e-8,4.970424086364745,1.8482776975581316e-7,4.989970812399403,2.2175164442870786e-13,7771.657174825668,-2.4382222247804766
64.0,0.03125,1.5307863080395273e-9,4.9929025406657574,5.784389855989502e-9,4.997872932684139,3.802577150206577e-13,163320.22909903526,-4.393337424383347
