n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.05931365597723154,0.0,0.15407581294681508,0.0,0.018699134146319213,2.467280864715576,0.0
4.0,0.5,0.00438299962907421,3.7583738375346964,0.01261409881806519,3.6105313577248683,-7.916572606007921e-5,4.340301036834717,-0.8148731540978104
8.0,0.25,0.00015038416161915707,4.865194020524062,0.0005873916475123142,4.424570578894596,-2.542069072603015e-9,13.862235069274902,-1.675292873873203
16.0,0.125,4.41657916398356e-6,5.08957944991951,2.1992880339660736e-5,4.739214284233006,-9.852782899017615e-9,55.408742904663086,-1.998953747710612
32.0,0.0625,1.2590848681485245e-7,5.1324819352170765,6.896410886247928e-7,4.995047019300221,4.526470265069863e-9,198.93137407302856,-1.8440852848110239
64.0,0.03125,2.1442177889059335e-8,2.553852177298193,1.0804697814226216e-7,2.6741870088894144,7.312770826831496e-9,883.8881659507751,-2.1515930180659866
128.0,0.015625,9.976488870768052e-9,1.1038473808792895,6.57878543863788e-8,0.7157655570994468,-1.2098244165108154e-9,6527.343170166016,-2.884560140779909
