n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.16435112696909332,0.0,0.3186664402913888,0.0,-0.036027908612578985,2.2142019271850586,0.0
4.0,0.5,0.03199060048288779,2.361061371052364,0.07120432082845857,2.1620103978785306,-0.0030711964225791782,5.2555248737335205,-1.2470480578877108
8.0,0.25,0.0032873967658403366,3.282630577705376,0.008337859852344476,3.094215761832365,-0.00010685038970697017,18.321001052856445,-1.8015915742479138
16.0,0.125,0.00028238926911910837,3.5411884182479723,0.000959983998527203,3.118594859067437,-9.803284667371341e-7,68.21130514144897,-1.8965125331839716
32.0,0.0625,2.1881205458387228e-5,3.6899211417820217,7.559855003558269e-5,3.666579889268252,-1.7471976265196094e-8,271.6838719844818,-1.9938461529335507
64.0,0.03125,1.7886691923047129e-6,3.6127337237848036,7.423795039096515e-6,3.3481297788455326,-2.857698266120045e-10,1225.793608903885,-2.1737152576729057
128.0,0.015625,1.3067946458452935e-7,3.774782236941911,7.849885688415714e-7,3.2414133297036236,-1.6169429415736382e-12,5655.577795982361,-2.205958335183235
