n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.07513097533509935,0.0,0.16808366386831863,0.0,0.007682795586576668,7.163895130157471,0.0
4.0,0.5,0.0044738205907310915,4.069828523485693,0.013616239556726861,3.6257792857006725,-0.0002091010714634911,14.851934909820557,-1.051834774089777
8.0,0.25,0.00015067664397439386,4.891979691886613,0.0005857161600755223,4.538982814764622,-4.868891559511868e-7,46.36525201797485,-1.6423930991413662
16.0,0.125,4.443302924284283e-6,5.083679494219237,2.2099503341033166e-5,4.728115847053807,-1.2097379328314395e-8,181.0641770362854,-1.9653852401482437
32.0,0.0625,1.2612088776853513e-7,5.13875336566558,6.956634319710275e-7,4.989480650534988,-1.559264674842742e-11,608.6215441226959,-1.7490442616434538
64.0,0.03125,3.787146641395306e-9,5.057552135487832,1.8800077467018284e-8,5.209578974684133,1.7388826889627642e-11,2923.1547520160675,-2.263908898828116
128.0,0.015625,1.5483663724736986e-10,4.612292498981555,9.661240696345885e-10,4.282386324586559,-3.2659645578010795e-11,11908.3285009861,-2.0263728125065055
