n cells_per_dim,dx,L2 Error,L2  Error rate,Linf Error,Linf rate,Entropy change,Time,Time scaling
2.0,1.0,0.07402451858895807,0.0,0.11009878038248755,0.0,0.005303830144189597,32.56483197212219,0.0
4.0,0.5,0.005040973986874329,3.876228788324436,0.01497442788634551,2.878225698050068,-2.1021840400834346e-5,151.2389931678772,-2.2154434623286656
8.0,0.25,0.00035733730296353284,3.818344077631528,0.0012444910098194928,3.5888731709300172,-6.663907720835199e-7,667.4241650104523,-2.14177377210222
16.0,0.125,2.3567002704992165e-5,3.922446336086306,8.504113711471639e-5,3.8712511103517224,-7.004082131609411e-9,2047.0565690994263,-1.6168751435292046
32.0,0.0625,1.4987398586322033e-6,3.9749463889804324,5.761794666714337e-6,3.8835707346257844,-7.088020154742753e-11,8639.501987934113,-2.0773971817709267
64.0,0.03125,9.379205645957966e-8,3.998140439719163,3.5161217626367147e-7,4.034461311320812,-1.3490846833998618e-13,37417.23327898979,-2.114682828400097
