c_value,OOA
1.0e-7,4.007550311838917
3.162277660168379e-7,4.00754673671476
1.0e-6,4.00753557754538
3.162277660168379e-6,4.007500645369636
1.0e-5,4.007396103933826
3.1622776601683795e-5,4.007111758797842
0.0001,4.006486266007574
0.00031622776601683794,4.004253106804447
0.001,3.991834657878766
0.0031622776601683794,3.9488826686871428
0.01,3.7943701638505147
0.03162277660168379,3.463797401631006
0.1,3.178513443336012
0.31622776601683794,3.0480080125798583
1.0,3.001662783191339
3.1622776601683795,2.9864681949938863
10.0,2.981608365836528
31.622776601683793,2.9800661282026186
100.0,2.9795778204798773
316.22776601683796,2.9794233722149213
1000.0,2.9793744817129473
3162.2776601683795,2.979359123351377
10000.0,2.979354298625763
31622.776601683792,2.979352932643016
100000.0,2.9793514605184654
