c_value,OOA
1.0e-7,3.9858477519470092
3.162277660168379e-7,3.985856756826734
1.0e-6,3.9858853606845384
3.162277660168379e-6,3.9859770968228667
1.0e-5,3.986280202035391
3.1622776601683795e-5,3.9873734491574484
0.0001,3.9921309047132096
0.00031622776601683794,4.008548863646235
0.001,4.002096655164764
0.0031622776601683794,3.9918742771919393
0.01,3.9158448192658653
0.03162277660168379,3.616984634894192
0.1,3.2579436028972344
0.31622776601683794,3.081544323307013
1.0,3.018443226544635
3.1622776601683795,2.9977464705653496
10.0,2.991127296252681
31.622776601683793,2.9890267028466293
100.0,2.988361693610506
316.22776601683796,2.9881513259586123
1000.0,2.988084803111718
3162.2776601683795,2.9880638037494918
10000.0,2.9880571039416686
31622.776601683792,2.9880552828352944
100000.0,2.9880557134358603
