c_value,OOA
1.0e-7,5.001782461842764
3.162277660168379e-7,5.001782884501513
1.0e-6,5.001929797235583
3.162277660168379e-6,5.0031281948604995
1.0e-5,5.003594741373719
3.1622776601683795e-5,4.98179911410141
0.0001,4.909853165348875
0.00031622776601683794,4.683970412344241
0.001,4.340957957792152
0.0031622776601683794,4.119030915395172
0.01,4.029662528249778
0.03162277660168379,3.9991841363712624
0.1,3.9893192583012587
0.31622776601683794,3.986178336173786
1.0,3.985185379447212
3.1622776601683795,3.984869714215797
10.0,3.9847676785366204
31.622776601683793,3.9847350991457158
100.0,3.984723680552553
316.22776601683796,3.9847327407653204
1000.0,3.984733479839198
3162.2776601683795,3.984282509886059
10000.0,3.984428745987522
31622.776601683792,3.9744943780598976
100000.0,3.7567766250589516
