c_value,OOA
1.0e-7,5.238390724454834
3.162277660168379e-7,5.250100625591535
1.0e-6,5.24822517540357
3.162277660168379e-6,5.231940648214206
1.0e-5,5.185217018364917
3.1622776601683795e-5,5.009554253887874
0.0001,4.796396978013559
0.00031622776601683794,4.333493801469912
0.001,3.918225226682561
0.0031622776601683794,3.832412662252366
0.01,4.0304762440797
0.03162277660168379,4.0975220680066995
0.1,4.104995795885678
0.31622776601683794,4.105147458175965
1.0,4.104947940995735
3.1622776601683795,4.1048593393819655
10.0,4.104828609563874
31.622776601683793,4.104818749670783
100.0,4.10481565797992
316.22776601683796,4.104810929692721
1000.0,4.104819168880566
3162.2776601683795,4.104655640038535
10000.0,4.103456189555107
31622.776601683792,4.069188877084477
100000.0,4.061383613427202
